#{"t_start": 1663577230.7067392, "env_id": "RMSA-v0"}
r,l,t,episode_service_blocking_rate,episode_bit_rate_blocking_rate
50,50,0.161899,0.0,0.0
50,50,0.418708,0.0,0.0
45,50,0.675332,0.1,0.1259600614439324
45,50,0.923441,0.1,0.1433611289288005
47,50,1.194363,0.06,0.0844811753902663
49,50,1.450698,0.02,0.027517198248905566
49,50,1.718112,0.02,0.012528107934468359
48,50,1.960771,0.04,0.05835278426142047
46,50,2.208611,0.08,0.09833887043189368
49,50,2.443683,0.02,0.033715441672285906
49,50,2.693409,0.02,0.028580115536637276
47,50,2.952698,0.06,0.07867624102403996
47,50,3.200751,0.06,0.08926780341023069
45,50,3.455602,0.1,0.12205226258763544
46,50,3.7225,0.08,0.09835547122074637
46,50,3.983434,0.08,0.09517845961177207
49,50,4.216399,0.02,0.026423957721667644
49,50,4.452458,0.02,0.011760862463247305
45,50,4.680853,0.1,0.15361344537815125
48,50,4.91117,0.04,0.051621026125275415
48,50,5.148121,0.04,0.06088619700350654
45,50,5.378646,0.1,0.13366336633663367
46,50,5.609786,0.08,0.09248727925770728
47,50,5.841284,0.06,0.07093368525239195
50,50,6.076195,0.0,0.0
48,50,6.304108,0.04,0.05258095543443411
44,50,6.523789,0.12,0.1504424778761062
46,50,6.74545,0.08,0.09798994974874371
45,50,6.98104,0.1,0.11916421808684297
48,50,7.208887,0.04,0.04328593996840442
49,50,7.443517,0.02,0.019898819561551432
49,50,7.691812,0.02,0.023187459177008492
48,50,7.929484,0.04,0.06228042159054615
49,50,8.162588,0.02,0.030293663060278208
45,50,8.401865,0.1,0.1253616200578592
45,50,8.635907,0.1,0.13805064169268125
43,50,8.859026,0.14,0.1783800819413804
44,50,9.093501,0.12,0.15101792768155575
46,50,9.329058,0.08,0.0897597977243995
48,50,9.561559,0.04,0.05274656679151061
45,50,9.794049,0.1,0.12696882031501125
47,50,10.033253,0.06,0.08557625948930296
48,50,10.264663,0.04,0.05911949685534591
50,50,10.504213,0.0,0.0
47,50,10.744358,0.06,0.08752449379490529
45,50,10.976849,0.1,0.11524879614767256
47,50,11.199442,0.06,0.07954545454545454
48,50,11.428789,0.04,0.055301162381120116
50,50,11.650517,0.0,0.0
50,50,11.888151,0.0,0.0
45,50,12.106949,0.1,0.09878844361602983
49,50,12.348469,0.02,0.025912035458574838
42,50,12.575644,0.16,0.22655259822560203
43,50,12.802,0.14,0.15560425798371946
48,50,13.03267,0.04,0.054222806441012156
46,50,13.264389,0.08,0.10260336906584992
47,50,13.498567,0.06,0.0800658978583196
42,50,13.733488,0.16,0.16625233064014916
45,50,13.964036,0.1,0.1371447455386649
41,50,14.207858,0.18,0.2323965898326492
45,50,14.462719,0.1,0.12248865845755022
49,50,14.745719,0.02,0.026905829596412557
46,50,15.008829,0.08,0.10836501901140684
44,50,15.268642,0.12,0.14964610717896865
47,50,15.522404,0.06,0.08030592734225621
50,50,15.781754,0.0,0.0
46,50,16.011885,0.08,0.09040074557315937
45,50,16.262528,0.1,0.11309707241910631
49,50,16.50031,0.02,0.029421598127716483
50,50,16.779562,0.0,0.0
45,50,17.034383,0.1,0.10528010302640052
50,50,17.268222,0.0,0.0
50,50,17.515092,0.0,0.0
47,50,17.784045,0.06,0.08742138364779874
44,50,18.041046,0.12,0.12474645030425964
49,50,18.292492,0.02,0.023131672597864767
45,50,18.543057,0.1,0.1112596057467424
38,50,18.782714,0.24,0.27379209370424595
39,50,19.028069,0.22,0.22299212598425197
45,50,19.273893,0.1,0.12373417721518987
47,50,19.533197,0.06,0.06819716407832546
46,50,19.795426,0.08,0.10648442466624285
50,50,20.062824,0.0,0.0
48,50,20.314917,0.04,0.05153617443012884
45,50,20.564873,0.1,0.1418940609951846
43,50,20.815299,0.14,0.1646143875567077
44,50,21.075611,0.12,0.14085384855095046
48,50,21.344486,0.04,0.03603896103896104
48,50,21.601784,0.04,0.03993558776167472
45,50,21.848512,0.1,0.12255541069100391
44,50,22.105372,0.12,0.16242721422004291
50,50,22.36834,0.0,0.0
45,50,22.623868,0.1,0.14176127646517336
43,50,22.881699,0.14,0.17847222222222223
43,50,23.138181,0.14,0.16661760376803061
48,50,23.386045,0.04,0.0552434456928839
46,50,23.638834,0.08,0.09409888357256778
46,50,23.90713,0.08,0.06757990867579909
47,50,24.166167,0.06,0.06129137987545067
47,50,24.418992,0.06,0.08780332056194125
50,50,24.687365,0.0,0.0
48,50,24.930103,0.04,0.046540490226497054
48,50,25.175715,0.04,0.06303724928366762
50,50,25.416749,0.0,0.0
50,50,25.652878,0.0,0.0
45,50,25.913507,0.1,0.12578994884140837
46,50,26.171831,0.08,0.09777777777777778
47,50,26.438402,0.06,0.06622296173044925
46,50,26.703223,0.08,0.11146907216494846
50,50,26.964006,0.0,0.0
44,50,27.219779,0.12,0.1291421492722205
40,50,27.461545,0.2,0.21875901875901876
47,50,27.715598,0.06,0.07446808510638298
49,50,27.960883,0.02,0.021557271557271558
45,50,28.199681,0.1,0.13632204940530648
45,50,28.44583,0.1,0.1424784625579854
45,50,28.696269,0.1,0.13108371187540557
44,50,28.953518,0.12,0.16245847176079733
46,50,29.212758,0.08,0.09821428571428571
46,50,29.461935,0.08,0.101743264659271
47,50,29.723655,0.06,0.08001285347043702
47,50,29.981766,0.06,0.08726003490401396
42,50,30.218467,0.16,0.20013802622498275
46,50,30.476017,0.08,0.10151466322913309
47,50,30.736072,0.06,0.07183821309990945
44,50,30.983548,0.12,0.14392803598200898
47,50,31.236854,0.06,0.08522540309312274
39,50,31.483715,0.22,0.2510327295837305
49,50,31.748659,0.02,0.028839922229423203
48,50,32.0086,0.04,0.03565533179267085
48,50,32.232382,0.04,0.05540080470442588
50,50,32.496121,0.0,0.0
46,50,32.749668,0.08,0.0982769623484365
49,50,32.998742,0.02,0.028173472617917063
45,50,33.245897,0.1,0.13157894736842105
49,50,33.506978,0.02,0.03212199870214147
47,50,33.76465,0.06,0.07321835340058575
44,50,34.021168,0.12,0.1648
49,50,34.283927,0.02,0.029696578437701744
50,50,34.540101,0.0,0.0
43,50,34.779957,0.14,0.1958562641631596
48,50,35.03862,0.04,0.057604388905821396
45,50,35.287387,0.1,0.12948084054388134
41,50,35.53489,0.18,0.21987120515179392
44,50,35.782811,0.12,0.1306501547987616
50,50,36.024916,0.0,0.0
49,50,36.27137,0.02,0.031270358306188926
50,50,36.513412,0.0,0.0
49,50,36.775511,0.02,0.02921268257926612
47,50,37.035219,0.06,0.07697262479871175
48,50,37.295281,0.04,0.04759124087591241
45,50,37.550649,0.1,0.12619808306709265
50,50,37.792628,0.0,0.0
49,50,38.074354,0.02,0.03541076487252125
46,50,38.325056,0.08,0.08438685208596713
47,50,38.56643,0.06,0.06944010009383797
44,50,38.814794,0.12,0.14504532666458267
44,50,39.068942,0.12,0.1519138755980861
48,50,39.320717,0.04,0.04797166773985834
48,50,39.569854,0.04,0.04927809165097301
50,50,39.826245,0.0,0.0
49,50,40.084996,0.02,0.031303164341612795
49,50,40.311964,0.02,0.031125827814569535
49,50,40.579252,0.02,0.031149301825993556
50,50,40.825584,0.0,0.0
50,50,41.068207,0.0,0.0
49,50,41.332228,0.02,0.027720739219712527
47,50,41.601953,0.06,0.07687338501291989
47,50,41.883528,0.06,0.05116279069767442
42,50,42.119121,0.16,0.20152574698029244
46,50,42.381043,0.08,0.08039867109634552
46,50,42.636531,0.08,0.09422888816432996
47,50,42.895974,0.06,0.07087348461299348
41,50,43.150283,0.18,0.207284572105419
45,50,43.404574,0.1,0.11316472114137484
45,50,43.667761,0.1,0.1402439024390244
38,50,43.911344,0.24,0.26181818181818184
41,50,44.153673,0.18,0.24201954397394138
42,50,44.397405,0.16,0.19993487463366982
47,50,44.653841,0.06,0.07579079235828375
46,50,44.921895,0.08,0.10272399081063341
48,50,45.187992,0.04,0.04503582395087001
49,50,45.446596,0.02,0.026650514839491216
49,50,45.699955,0.02,0.028009336445481828
42,50,45.960958,0.16,0.17967275015733167
50,50,46.212933,0.0,0.0
46,50,46.454124,0.08,0.10587496072887213
44,50,46.700687,0.12,0.1719704275152684
43,50,46.937425,0.14,0.16341780376868095
49,50,47.200142,0.02,0.027925061859314246
50,50,47.460878,0.0,0.0
49,50,47.691753,0.02,0.020401554404145077
