#{"t_start": 1663589804.9957452, "env_id": "RMSA-v0"}
r,l,t,episode_service_blocking_rate,episode_bit_rate_blocking_rate
49,50,0.21822,0.02,0.028874484384207425
42,50,0.487534,0.16,0.16470588235294117
42,50,0.745243,0.16,0.21136712749615977
40,50,1.001012,0.2,0.24887748556767159
40,50,1.260754,0.2,0.21365166819712275
37,50,1.513482,0.26,0.266729205753596
40,50,1.767311,0.2,0.2043045293928686
43,50,2.024995,0.14,0.18072690896965654
43,50,2.29613,0.14,0.14883720930232558
44,50,2.572404,0.12,0.13081591368846932
42,50,2.829645,0.16,0.20948616600790515
45,50,3.093975,0.1,0.11707773961910709
42,50,3.343191,0.16,0.19190906051487797
42,50,3.594213,0.16,0.18897386870618227
38,50,3.85131,0.24,0.27609108159392787
38,50,4.103739,0.24,0.27833437695679397
37,50,4.359976,0.26,0.32237228420434527
40,50,4.606961,0.2,0.24371120548840247
43,50,4.869968,0.14,0.18252100840336136
44,50,5.127983,0.12,0.15864022662889518
44,50,5.386638,0.12,0.14599936244819892
47,50,5.659129,0.06,0.08844884488448845
38,50,5.911731,0.24,0.26459143968871596
43,50,6.171385,0.14,0.18673705047838998
47,50,6.447056,0.06,0.05608396195473926
41,50,6.704867,0.18,0.22507213850593139
40,50,6.955157,0.2,0.22940776038121172
43,50,7.212466,0.14,0.16048994974874373
47,50,7.479895,0.06,0.07639569049951028
45,50,7.731833,0.1,0.09352290679304898
45,50,7.994226,0.1,0.10994940978077572
42,50,8.265494,0.16,0.18582625734813848
42,50,8.517221,0.16,0.20121366975407218
43,50,8.766426,0.14,0.1749613601236476
40,50,9.018586,0.2,0.20572163291546128
40,50,9.271266,0.2,0.24488380159556017
39,50,9.515905,0.22,0.27324298770879296
38,50,9.764793,0.24,0.25888787602552416
41,50,10.017134,0.18,0.20891276864728192
42,50,10.278177,0.16,0.17009987515605493
46,50,10.537196,0.08,0.09675345548055288
45,50,10.806802,0.1,0.12146307798481712
43,50,11.057096,0.14,0.17672955974842766
46,50,11.321424,0.08,0.10852713178294573
36,50,11.570263,0.28,0.33442194644023515
46,50,11.83246,0.08,0.10850722311396468
42,50,12.08162,0.16,0.17389807162534435
40,50,12.326187,0.2,0.21768228249383587
45,50,12.580262,0.1,0.11713890808569453
45,50,12.84592,0.1,0.12546468401486988
41,50,13.099798,0.18,0.19633426529978254
44,50,13.367139,0.12,0.14149335151721787
34,50,13.608675,0.32,0.3884664131812421
38,50,13.86427,0.24,0.28146524733876016
39,50,14.107326,0.22,0.26454157081827145
42,50,14.372764,0.16,0.1901990811638591
39,50,14.622304,0.22,0.27479406919275123
38,50,14.870539,0.24,0.2632069608452455
37,50,15.11222,0.26,0.3086582947785856
42,50,15.363589,0.16,0.1831386169876855
41,50,15.602582,0.18,0.21127673363577446
44,50,15.858366,0.12,0.14862267777065982
42,50,16.116026,0.16,0.18377693282636248
38,50,16.367762,0.24,0.25985844287158744
41,50,16.625319,0.18,0.23518164435946462
46,50,16.888086,0.08,0.09331611236680659
43,50,17.144864,0.14,0.16216216216216217
39,50,17.402415,0.22,0.2489984591679507
45,50,17.65438,0.1,0.11434302908726178
40,50,17.899311,0.2,0.22983606557377048
36,50,18.13074,0.28,0.3032839665164198
46,50,18.402267,0.08,0.08621933621933622
45,50,18.657286,0.1,0.13713150049685327
41,50,18.91659,0.18,0.19874213836477989
38,50,19.177787,0.24,0.2650439486139283
45,50,19.435385,0.1,0.10883748517200474
43,50,19.691231,0.14,0.16404944871366522
36,50,19.931367,0.28,0.31976573938506586
39,50,20.194408,0.22,0.24031496062992125
45,50,20.452957,0.1,0.12310126582278481
43,50,20.707234,0.14,0.13335584064821066
42,50,20.964227,0.16,0.21424030514939607
42,50,21.21758,0.16,0.20501835985312117
45,50,21.475861,0.1,0.12322431450280806
42,50,21.729835,0.16,0.1871589085072231
41,50,21.984077,0.18,0.21127673363577446
37,50,22.23857,0.26,0.28108444998441884
43,50,22.492608,0.14,0.15876623376623378
42,50,22.752208,0.16,0.16553945249597424
42,50,23.006011,0.16,0.18546284224250326
37,50,23.253634,0.26,0.32270916334661354
44,50,23.509812,0.12,0.16220472440944883
39,50,23.759723,0.22,0.27186253451979137
38,50,24.008193,0.24,0.31180555555555556
40,50,24.267394,0.2,0.23638504562849574
42,50,24.526427,0.16,0.19975031210986266
38,50,24.776939,0.24,0.27527910685805423
40,50,25.03225,0.2,0.20578386605783866
44,50,25.30718,0.12,0.11307767944936087
43,50,25.563934,0.14,0.17305236270753513
43,50,25.8153,0.14,0.15879428216283406
45,50,26.072474,0.1,0.09866583928017375
40,50,26.320263,0.2,0.2335243553008596
46,50,26.588678,0.08,0.09528653780942692
47,50,26.864368,0.06,0.06923076923076923
41,50,27.114633,0.18,0.2046343665362624
41,50,27.379082,0.18,0.22317460317460316
43,50,27.634995,0.14,0.1600665557404326
45,50,27.88866,0.1,0.10856958762886598
43,50,28.139106,0.14,0.1460997442455243
42,50,28.386725,0.16,0.20222979250541964
36,50,28.642505,0.28,0.2909090909090909
44,50,28.905266,0.12,0.15531914893617021
42,50,29.167436,0.16,0.17631917631917632
43,50,29.432667,0.14,0.16651418115279049
43,50,29.693998,0.14,0.17892644135188868
43,50,29.950732,0.14,0.1810512654120701
37,50,30.210493,0.26,0.2823920265780731
46,50,30.479548,0.08,0.11083743842364532
38,50,30.732148,0.24,0.25356576862123614
43,50,30.996883,0.14,0.16580976863753213
43,50,31.258038,0.14,0.16649214659685863
37,50,31.508495,0.26,0.2774327122153209
35,50,31.751357,0.3,0.3358040605865292
39,50,32.000185,0.22,0.23754904920012074
38,50,32.242148,0.24,0.2992503748125937
41,50,32.511623,0.18,0.22013820335636722
36,50,32.759445,0.28,0.3374642516682555
45,50,33.021218,0.1,0.1338302009073234
42,50,33.279047,0.16,0.1868603499504787
42,50,33.536273,0.16,0.21541318477251625
47,50,33.799134,0.06,0.06997455470737914
42,50,34.045137,0.16,0.19208679004467136
45,50,34.294914,0.1,0.13580246913580246
38,50,34.545927,0.24,0.3192355889724311
45,50,34.816829,0.1,0.15022712524334847
41,50,35.074139,0.18,0.20859095346566872
39,50,35.339708,0.22,0.296
43,50,35.600788,0.14,0.16785022595222723
45,50,35.862301,0.1,0.12035928143712575
41,50,36.11405,0.18,0.2055681450307543
40,50,36.372803,0.2,0.2416946053032612
41,50,36.628015,0.18,0.2265142150803461
39,50,36.884228,0.22,0.25544311560870897
46,50,37.152996,0.08,0.10247678018575851
42,50,37.407165,0.16,0.20155826558265583
46,50,37.680706,0.08,0.08892508143322475
46,50,37.941069,0.08,0.12094888072168393
45,50,38.212733,0.1,0.1392946205913787
43,50,38.481045,0.14,0.13107890499194846
44,50,38.745804,0.12,0.13197080291970803
41,50,38.997191,0.18,0.19776357827476038
46,50,39.259872,0.08,0.09387884554392642
42,50,39.514347,0.16,0.2046742209631728
43,50,39.763511,0.14,0.14348925410872312
42,50,40.010927,0.16,0.17391304347826086
41,50,40.272542,0.18,0.2085026570803376
36,50,40.519531,0.28,0.3208732057416268
42,50,40.779346,0.16,0.21377978106889892
43,50,41.041748,0.14,0.18047708725674827
48,50,41.312705,0.04,0.054361979166666664
47,50,41.569366,0.06,0.07417488941816945
43,50,41.820565,0.14,0.18874172185430463
