#{"t_start": 1663577230.6982, "env_id": "RMSA-v0"}
r,l,t,episode_service_blocking_rate,episode_bit_rate_blocking_rate
24,50,0.045995,0.52,0.5409546258102534
11,50,0.074557,0.78,0.8024221453287197
11,50,0.101739,0.78,0.8012288786482334
10,50,0.129276,0.8,0.7870429762668377
12,50,0.160929,0.76,0.756045301499847
11,50,0.186681,0.78,0.8017510944340213
14,50,0.216814,0.72,0.752328943141664
15,50,0.251623,0.7,0.7319106368789596
11,50,0.281443,0.78,0.7966777408637874
17,50,0.323238,0.66,0.6638570465273095
18,50,0.360094,0.64,0.6536941319550015
16,50,0.400501,0.68,0.6868560724320949
14,50,0.436238,0.72,0.7469073888331662
10,50,0.464884,0.8,0.8288718929254302
10,50,0.494046,0.8,0.8241619228336496
10,50,0.522735,0.8,0.843143393863494
13,50,0.555794,0.74,0.7489724016441573
15,50,0.589631,0.7,0.7386475008167266
12,50,0.62145,0.76,0.7815126050420168
18,50,0.661242,0.64,0.6962543279823733
15,50,0.699752,0.7,0.6831367548613325
14,50,0.735242,0.72,0.7422442244224422
12,50,0.767113,0.76,0.7785094283148758
12,50,0.794091,0.76,0.7492576707357308
15,50,0.831614,0.7,0.7392587733683175
14,50,0.866113,0.72,0.7021481243988458
13,50,0.902941,0.74,0.8046289993192648
13,50,0.936352,0.74,0.7082286432160804
16,50,0.977931,0.68,0.70290564805746
13,50,1.011289,0.74,0.7011058451816745
16,50,1.052506,0.68,0.7612141652613827
13,50,1.088323,0.74,0.7615937295885042
12,50,1.120138,0.76,0.7856914723730437
13,50,1.150617,0.74,0.7350850077279752
16,50,1.184352,0.68,0.662166505946641
12,50,1.217364,0.76,0.7724592438432188
13,50,1.250891,0.74,0.7897888433658998
12,50,1.283859,0.76,0.773017319963537
8,50,1.306464,0.84,0.8122629582806574
12,50,1.337984,0.76,0.7780898876404494
15,50,1.371165,0.7,0.7113468338154935
17,50,1.412173,0.66,0.7053140096618358
11,50,1.440882,0.78,0.7908805031446541
14,50,1.473763,0.72,0.7389147286821706
13,50,1.508845,0.74,0.7779229261920314
8,50,1.532979,0.84,0.8484751203852328
13,50,1.563133,0.74,0.7579201101928374
11,50,1.587556,0.78,0.7939415287072913
14,50,1.618857,0.72,0.7643400138217
16,50,1.65785,0.68,0.6905204460966543
18,50,1.694941,0.64,0.6837527182354769
12,50,1.727638,0.76,0.7565632458233891
12,50,1.757403,0.76,0.7509505703422054
11,50,1.786774,0.78,0.798058860363181
10,50,1.812355,0.8,0.8383174498849819
15,50,1.847642,0.7,0.7543644716692189
13,50,1.879948,0.74,0.7476112026359143
15,50,1.915964,0.7,0.7517091361093847
17,50,1.957428,0.66,0.7101784534038335
12,50,1.990257,0.76,0.7985475213135459
10,50,2.016972,0.8,0.8117303953337653
20,50,2.063396,0.6,0.6281229980781551
16,50,2.101622,0.68,0.6825095057034221
11,50,2.132426,0.78,0.8001348163127738
10,50,2.15851,0.8,0.844168260038241
14,50,2.190683,0.72,0.7355505327736519
13,50,2.221993,0.74,0.7477477477477478
12,50,2.256211,0.76,0.7812018489984591
19,50,2.301183,0.62,0.6034770979605483
11,50,2.328991,0.78,0.7734426229508197
13,50,2.357732,0.74,0.7623953638119768
15,50,2.39499,0.7,0.7748917748917749
