#{"t_start": 1663577230.7039504, "env_id": "RMSA-v0"}
r,l,t,episode_service_blocking_rate,episode_bit_rate_blocking_rate
50,50,0.077518,0.0,0.0
50,50,0.199168,0.0,0.0
48,50,0.333548,0.04,0.04976958525345622
43,50,0.478076,0.14,0.18729955099422707
43,50,0.611606,0.14,0.13284358738904192
44,50,0.754367,0.12,0.1303939962476548
47,50,0.889311,0.06,0.08159331834243495
50,50,1.016132,0.0,0.0
46,50,1.156888,0.08,0.10465116279069768
47,50,1.284712,0.06,0.08260283209710047
47,50,1.411375,0.06,0.07418668288233506
48,50,1.543578,0.04,0.049640961598501405
48,50,1.663136,0.04,0.057505850885991305
46,50,1.794244,0.08,0.09432759719566602
44,50,1.934465,0.12,0.15053763440860216
43,50,2.06272,0.14,0.16217908578584847
47,50,2.200338,0.06,0.07310628302994715
49,50,2.31255,0.02,0.011760862463247305
48,50,2.437372,0.04,0.06184873949579832
48,50,2.559034,0.04,0.059490084985835696
49,50,2.672043,0.02,0.017532674529805548
47,50,2.796984,0.06,0.08877887788778878
47,50,2.919204,0.06,0.0772223885064352
41,50,3.058799,0.18,0.23358627515671396
48,50,3.177301,0.04,0.050508363397835356
48,50,3.291711,0.04,0.05739018916319333
42,50,3.421046,0.16,0.2021783526208305
44,50,3.545186,0.12,0.12688442211055276
47,50,3.678388,0.06,0.07606921318968332
45,50,3.806575,0.1,0.08878357030015797
49,50,3.941654,0.02,0.03069139966273187
49,50,4.066,0.02,0.024167210973220117
45,50,4.190699,0.1,0.11529862663685723
49,50,4.307647,0.02,0.027820710973724884
46,50,4.444786,0.08,0.10671809707489553
41,50,4.584635,0.18,0.24037460978147762
45,50,4.716062,0.1,0.14150646076268517
46,50,4.850715,0.08,0.10391978122151321
46,50,4.987341,0.08,0.09355246523388117
46,50,5.128574,0.08,0.10362047440699126
45,50,5.250192,0.1,0.13468338154934104
43,50,5.394146,0.14,0.15044858523119392
49,50,5.513844,0.02,0.027672955974842768
45,50,5.63334,0.1,0.13116279069767442
44,50,5.759546,0.12,0.1178967994774657
47,50,5.878536,0.06,0.08089887640449438
47,50,5.993873,0.06,0.05716253443526171
46,50,6.120228,0.08,0.09122930609369496
50,50,6.240121,0.0,0.0
49,50,6.359384,0.02,0.019516728624535316
48,50,6.475942,0.04,0.036346691519105315
46,50,6.603863,0.08,0.07569041936583702
41,50,6.733126,0.18,0.23098859315589354
42,50,6.866971,0.16,0.1981840951784596
46,50,6.992104,0.08,0.1127177127834374
45,50,7.117395,0.1,0.12833078101071976
47,50,7.238676,0.06,0.08665568369028007
44,50,7.359107,0.12,0.1305158483530143
43,50,7.489611,0.14,0.1612690019828156
40,50,7.623733,0.2,0.21787180296810862
42,50,7.760782,0.16,0.19604666234607906
48,50,7.887102,0.04,0.05060858424087124
49,50,8.020223,0.02,0.030418250950570342
44,50,8.157538,0.12,0.1361644759015841
46,50,8.290956,0.08,0.1035691523263225
50,50,8.415052,0.0,0.0
46,50,8.54074,0.08,0.10966138552345449
45,50,8.674562,0.1,0.10755007704160247
50,50,8.797057,0.0,0.0
48,50,8.926894,0.04,0.04950819672131147
47,50,9.047864,0.06,0.054732775273663874
50,50,9.168879,0.0,0.0
49,50,9.285199,0.02,0.033123550844650546
47,50,9.429129,0.06,0.06792452830188679
47,50,9.560964,0.06,0.068289384719405
49,50,9.68908,0.02,0.023131672597864767
45,50,9.81851,0.1,0.12261944537253591
40,50,9.956694,0.2,0.23601756954612005
42,50,10.097967,0.16,0.17354330708661417
49,50,10.218313,0.02,0.025632911392405065
46,50,10.363249,0.08,0.09284267386900742
45,50,10.505717,0.1,0.1382708200890019
48,50,10.64205,0.04,0.05538555691554468
49,50,10.763419,0.02,0.028741328047571853
44,50,10.896456,0.12,0.16982343499197433
43,50,11.031036,0.14,0.16137394685677253
41,50,11.184551,0.18,0.1991274540355251
46,50,11.313327,0.08,0.10876623376623376
48,50,11.441404,0.04,0.03993558776167472
45,50,11.563543,0.1,0.13428943937418514
44,50,11.696373,0.12,0.13392583512105424
49,50,11.827067,0.02,0.024881889763779527
41,50,11.954706,0.18,0.24025774777539122
43,50,12.095827,0.14,0.20069444444444445
46,50,12.241824,0.08,0.10862525758021783
48,50,12.381848,0.04,0.048377028714107366
46,50,12.521399,0.08,0.09952153110047847
42,50,12.656902,0.16,0.14520547945205478
46,50,12.792475,0.08,0.08423467715503113
46,50,12.929358,0.08,0.09099616858237548
46,50,13.06329,0.08,0.09384711000621504
47,50,13.186186,0.06,0.07043127520943221
47,50,13.328471,0.06,0.06840974212034384
49,50,13.452155,0.02,0.019667683960664633
49,50,13.560085,0.02,0.02980769230769231
44,50,13.701251,0.12,0.1209750225699669
46,50,13.843506,0.08,0.09777777777777778
46,50,13.970954,0.08,0.08785357737104825
46,50,14.09864,0.08,0.09439432989690721
49,50,14.230075,0.02,0.023657289002557546
41,50,14.362672,0.18,0.19603592443480955
42,50,14.517115,0.16,0.16017316017316016
49,50,14.650149,0.02,0.028368794326241134
46,50,14.773553,0.08,0.10585585585585586
47,50,14.895027,0.06,0.07166819152180542
45,50,15.027787,0.1,0.12127236580516898
46,50,15.155572,0.08,0.10674886437378325
45,50,15.304465,0.1,0.13388704318936878
45,50,15.43709,0.1,0.13577586206896552
48,50,15.570643,0.04,0.05134706814580032
44,50,15.708772,0.12,0.14781491002570693
49,50,15.849217,0.02,0.03106457242582897
42,50,15.982939,0.16,0.18633540372670807
43,50,16.126103,0.14,0.1398646471156945
44,50,16.261893,0.12,0.1524298219136734
45,50,16.407224,0.1,0.1247376311844078
45,50,16.543452,0.1,0.1125370187561698
42,50,16.701646,0.16,0.18875119161105816
47,50,16.835241,0.06,0.07453013609850939
47,50,16.968173,0.06,0.057114559260482006
48,50,17.095642,0.04,0.056638811513463325
46,50,17.229423,0.08,0.10368956743002544
46,50,17.356365,0.08,0.11742182514358647
47,50,17.492859,0.06,0.08293763849319405
43,50,17.620699,0.14,0.18295739348370926
49,50,17.748694,0.02,0.02693056456846204
47,50,17.881224,0.06,0.07452001301659616
41,50,18.024324,0.18,0.2432
47,50,18.16666,0.06,0.062298256939961265
50,50,18.281586,0.0,0.0
45,50,18.417259,0.1,0.13758497895759145
48,50,18.560305,0.04,0.060347455044193844
46,50,18.69015,0.08,0.11248454882571075
42,50,18.828892,0.16,0.21343146274149033
46,50,18.964118,0.08,0.11052631578947368
48,50,19.090156,0.04,0.05623306233062331
49,50,19.214157,0.02,0.020846905537459284
50,50,19.327146,0.0,0.0
50,50,19.452399,0.0,0.0
48,50,19.579013,0.04,0.057648953301127216
47,50,19.705837,0.06,0.06832116788321167
44,50,19.838424,0.12,0.16996805111821087
49,50,19.947261,0.02,0.02664129400570885
45,50,20.075945,0.1,0.1395184135977337
43,50,20.205769,0.14,0.1624525916561315
46,50,20.33033,0.08,0.09821707851110416
46,50,20.453939,0.08,0.10722100656455143
43,50,20.593591,0.14,0.16985645933014354
48,50,20.729465,0.04,0.039278815196394076
43,50,20.860805,0.14,0.1751412429378531
49,50,20.981349,0.02,0.0283203125
50,50,21.101831,0.0,0.0
49,50,21.217239,0.02,0.0195364238410596
49,50,21.343223,0.02,0.031149301825993556
49,50,21.452582,0.02,0.02916396629941672
50,50,21.555554,0.0,0.0
47,50,21.684027,0.06,0.0568104038329911
48,50,21.800581,0.04,0.041666666666666664
46,50,21.941674,0.08,0.08713178294573644
44,50,22.075938,0.12,0.13572790845518118
48,50,22.213707,0.04,0.044850498338870434
40,50,22.348017,0.2,0.23214867949135964
46,50,22.479521,0.08,0.10258004351880634
44,50,22.6295,0.12,0.13947290494521764
42,50,22.76334,0.16,0.16569390402075226
47,50,22.90302,0.06,0.06432926829268293
39,50,23.046169,0.22,0.25272727272727274
42,50,23.183674,0.16,0.19022801302931597
48,50,23.306318,0.04,0.0592640833604689
46,50,23.421407,0.08,0.10241152521139994
48,50,23.551196,0.04,0.05152609123728257
46,50,23.67542,0.08,0.08529512111907199
48,50,23.793391,0.04,0.056329497274379164
47,50,23.918259,0.06,0.0800266755585195
42,50,24.046636,0.16,0.16645689112649464
47,50,24.164047,0.06,0.07398956975228162
45,50,24.273314,0.1,0.12566760917373546
42,50,24.391716,0.16,0.1603985856637737
47,50,24.514225,0.06,0.06172839506172839
48,50,24.65057,0.04,0.056910569105691054
50,50,24.782671,0.0,0.0
47,50,24.904122,0.06,0.0702720207253886
48,50,25.032939,0.04,0.05287426990470335
50,50,25.165443,0.0,0.0
43,50,25.299082,0.14,0.18263665594855305
50,50,25.415438,0.0,0.0
49,50,25.538965,0.02,0.020987654320987655
40,50,25.676228,0.2,0.26389776357827477
48,50,25.803527,0.04,0.050033806626098715
43,50,25.935915,0.14,0.17080339647289353
50,50,26.062578,0.0,0.0
47,50,26.192854,0.06,0.0674047541517421
45,50,26.325956,0.1,0.09911678115799803
41,50,26.466994,0.18,0.20125578321216128
49,50,26.598766,0.02,0.021679284239504472
49,50,26.729648,0.02,0.030284490669929644
50,50,26.83686,0.0,0.0
48,50,26.950193,0.04,0.050705171255876424
50,50,27.065489,0.0,0.0
47,50,27.200282,0.06,0.06167683906199807
48,50,27.315466,0.04,0.038280725319006045
47,50,27.432305,0.06,0.07833163784333673
47,50,27.544017,0.06,0.08577127659574468
46,50,27.667104,0.08,0.09454983438723276
48,50,27.804269,0.04,0.04435226547543076
46,50,27.920821,0.08,0.10649984742142203
45,50,28.036825,0.1,0.11068702290076336
42,50,28.157381,0.16,0.17103694874851014
45,50,28.274323,0.1,0.12641509433962264
44,50,28.402897,0.12,0.12237412470823608
45,50,28.526595,0.1,0.11877051626380185
34,50,28.670776,0.32,0.37686325340246274
39,50,28.801486,0.22,0.24752475247524752
48,50,28.921305,0.04,0.06509500351864884
44,50,29.049977,0.12,0.13294081189959714
44,50,29.171524,0.12,0.14965123652504755
38,50,29.306205,0.24,0.30749682337992373
41,50,29.436589,0.18,0.24002681863895406
45,50,29.577717,0.1,0.12417871222076216
47,50,29.710687,0.06,0.07135575942915393
44,50,29.838993,0.12,0.15545087483176312
46,50,29.963862,0.08,0.11125319693094629
48,50,30.078512,0.04,0.06650159179342059
46,50,30.19636,0.08,0.10204734484964811
48,50,30.316371,0.04,0.05719557195571956
43,50,30.438887,0.14,0.16778523489932887
41,50,30.569435,0.18,0.21553398058252426
48,50,30.690139,0.04,0.05227492739593417
50,50,30.805439,0.0,0.0
47,50,30.922682,0.06,0.08984244049614482
46,50,31.050465,0.08,0.08197727970525023
45,50,31.18103,0.1,0.12444312444312444
45,50,31.309516,0.1,0.1323172843782473
43,50,31.445738,0.14,0.1912936848559166
46,50,31.570739,0.08,0.11114743380189604
49,50,31.691285,0.02,0.03369175627240143
48,50,31.819401,0.04,0.050299800133244504
45,50,31.94648,0.1,0.10491283676703644
46,50,32.076453,0.08,0.10081833060556465
46,50,32.217895,0.08,0.10494610019023462
44,50,32.353896,0.12,0.16759431045145332
44,50,32.480527,0.12,0.14197329859980462
49,50,32.599235,0.02,0.027893555626803464
47,50,32.712269,0.06,0.08786610878661087
47,50,32.829246,0.06,0.08716173694147263
46,50,32.97063,0.08,0.09778063686072692
49,50,33.105976,0.02,0.013860716700473293
48,50,33.233136,0.04,0.05318491032776747
40,50,33.361465,0.2,0.24851091992058238
43,50,33.476419,0.14,0.16172248803827752
44,50,33.608981,0.12,0.14285714285714285
