#{"t_start": 1663602367.6898365, "env_id": "RMSA-v0"}
r,l,t,episode_service_blocking_rate,episode_bit_rate_blocking_rate
45,50,0.084333,0.1,0.09487330583382439
32,50,0.175871,0.36,0.3570934256055363
32,50,0.267366,0.36,0.3351766513056836
35,50,0.377953,0.3,0.3296985246953175
33,50,0.501947,0.34,0.31558004285277014
38,50,0.616277,0.24,0.24452782989368355
35,50,0.744083,0.3,0.2836492129778349
34,50,0.846973,0.32,0.347782594198066
39,50,0.966549,0.22,0.2149501661129568
38,50,1.075265,0.24,0.2677006068779501
39,50,1.210917,0.22,0.2684706597750076
38,50,1.347655,0.24,0.2535123321885732
39,50,1.461079,0.22,0.24239384821130056
32,50,1.570522,0.36,0.3479923518164436
34,50,1.689942,0.32,0.349146110056926
33,50,1.802787,0.34,0.34815278647463993
35,50,1.917612,0.3,0.32295948326482676
32,50,2.019951,0.36,0.3622999019928128
38,50,2.145619,0.24,0.266890756302521
35,50,2.244974,0.3,0.3040604343720491
38,50,2.349513,0.24,0.2531080650302837
37,50,2.475382,0.26,0.2613861386138614
34,50,2.600685,0.32,0.3495959293624663
31,50,2.747367,0.38,0.4503464203233256
40,50,2.872796,0.2,0.23975073794686783
40,50,3.014624,0.2,0.21930105803142033
34,50,3.164735,0.32,0.3512593601089176
34,50,3.295823,0.32,0.35835427135678394
34,50,3.410155,0.32,0.31733594515181196
41,50,3.520589,0.18,0.1377567140600316
33,50,3.629319,0.34,0.31399662731871836
37,50,3.766291,0.26,0.2916394513389941
35,50,3.908889,0.3,0.3404663046949856
35,50,4.023707,0.3,0.3357032457496136
35,50,4.141859,0.3,0.31468981035036964
34,50,4.259368,0.32,0.3198057578910857
33,50,4.394504,0.34,0.3561298455720139
32,50,4.519591,0.36,0.3862048009723488
31,50,4.640486,0.38,0.3915929203539823
35,50,4.755735,0.3,0.24625468164794007
33,50,4.884131,0.34,0.3314046930247509
29,50,4.99679,0.42,0.4478951000690131
39,50,5.117057,0.22,0.26666666666666666
40,50,5.232294,0.2,0.22852713178294573
38,50,5.36058,0.24,0.2521227955584585
35,50,5.47069,0.3,0.3476725521669342
35,50,5.59201,0.3,0.31714876033057854
36,50,5.718267,0.28,0.3078548784783374
37,50,5.835908,0.26,0.2885279889426399
37,50,5.958332,0.26,0.24442379182156135
36,50,6.075087,0.28,0.26778502640571605
32,50,6.200218,0.36,0.38629389703375383
28,50,6.337495,0.44,0.4990494296577947
29,50,6.468489,0.42,0.4777708202880401
35,50,6.605882,0.3,0.3348669076569175
30,50,6.73231,0.4,0.42970903522205206
37,50,6.851966,0.26,0.2886326194398682
32,50,7.005344,0.36,0.4173399627097576
33,50,7.127202,0.34,0.3628552544613351
32,50,7.259827,0.36,0.368171771392485
31,50,7.411179,0.38,0.42482177576150354
36,50,7.53347,0.28,0.28443305573350414
36,50,7.673208,0.28,0.30481622306717365
34,50,7.826461,0.32,0.3609706774519717
36,50,7.970953,0.28,0.27724665391969405
34,50,8.078526,0.32,0.30577978689053925
39,50,8.205587,0.22,0.23423423423423423
32,50,8.344222,0.36,0.3546995377503852
37,50,8.472252,0.26,0.2567703109327984
32,50,8.590324,0.36,0.37475409836065576
37,50,8.72853,0.26,0.2549903412749517
38,50,8.847687,0.24,0.2344877344877345
35,50,8.986021,0.3,0.2842000662471017
34,50,9.108869,0.32,0.3320754716981132
34,50,9.227228,0.32,0.3248816768086545
35,50,9.353145,0.3,0.25533807829181493
35,50,9.464901,0.3,0.28733711994654193
31,50,9.606923,0.38,0.4193265007320644
29,50,9.754563,0.42,0.4163779527559055
33,50,9.893878,0.34,0.33987341772151897
39,50,10.017499,0.22,0.23902768399729912
31,50,10.140129,0.38,0.3893833439287985
32,50,10.268962,0.36,0.40238678090575275
39,50,10.389506,0.22,0.2421539478031054
33,50,10.49807,0.34,0.35698234349919744
30,50,10.623145,0.4,0.4176928062216461
31,50,10.763332,0.38,0.38267373013399814
34,50,10.898923,0.32,0.29772727272727273
36,50,11.049448,0.28,0.2898550724637681
29,50,11.179241,0.42,0.38852672750977835
31,50,11.313162,0.38,0.398406374501992
37,50,11.428138,0.26,0.31811023622047246
32,50,11.569689,0.36,0.3629947836759742
34,50,11.71659,0.32,0.35625
33,50,11.840369,0.34,0.36532234324403884
35,50,11.963921,0.3,0.2671660424469413
37,50,12.09569,0.26,0.2889952153110048
31,50,12.23578,0.38,0.380517503805175
31,50,12.348159,0.38,0.3746312684365782
34,50,12.466115,0.32,0.320242656449553
33,50,12.59252,0.34,0.32349285270354255
37,50,12.702,0.26,0.2199813838039094
33,50,12.805776,0.34,0.3359598853868195
40,50,12.928453,0.2,0.21939640556120718
36,50,13.042395,0.28,0.2759615384615385
36,50,13.174096,0.28,0.3156786036713813
30,50,13.288936,0.4,0.39365079365079364
33,50,13.415054,0.34,0.3520798668885191
34,50,13.512305,0.32,0.34085051546391754
33,50,13.623329,0.34,0.3270460358056266
34,50,13.743121,0.32,0.33756580984825024
29,50,13.89261,0.42,0.412987012987013
36,50,14.009912,0.28,0.2602836879432624
33,50,14.133698,0.34,0.3516731016731017
31,50,14.274284,0.38,0.37236962488563585
33,50,14.40537,0.34,0.3621603711066932
29,50,14.529175,0.42,0.41466580142764436
35,50,14.676389,0.3,0.332890365448505
38,50,14.811428,0.24,0.2792487684729064
36,50,14.934802,0.28,0.3242472266244057
30,50,15.070643,0.4,0.41259640102827766
33,50,15.18358,0.34,0.3469458987783595
34,50,15.308137,0.32,0.3647342995169082
33,50,15.437157,0.34,0.36061875604253946
32,50,15.558665,0.36,0.40778750377301537
36,50,15.697668,0.28,0.31424287856071964
34,50,15.810116,0.32,0.3142481079302402
34,50,15.938633,0.32,0.2945662535748332
33,50,16.051694,0.34,0.30233311730395335
34,50,16.169484,0.32,0.3588643116540112
37,50,16.290427,0.26,0.27886103373568555
36,50,16.402779,0.28,0.2916666666666667
34,50,16.532701,0.32,0.3484365028717294
34,50,16.64912,0.32,0.32541943653054767
35,50,16.771748,0.3,0.3273809523809524
33,50,16.89016,0.34,0.3767034393251136
32,50,17.008282,0.36,0.40709404490725676
31,50,17.124383,0.38,0.35712
37,50,17.235067,0.26,0.2617817947062621
38,50,17.355433,0.24,0.22005988023952097
32,50,17.498624,0.36,0.3849142117190029
35,50,17.64152,0.3,0.2904602255409936
34,50,17.789268,0.32,0.37639060568603216
31,50,17.933881,0.38,0.4081570070530512
36,50,18.067713,0.28,0.3188854489164087
38,50,18.185225,0.24,0.24220867208672087
38,50,18.310565,0.24,0.26840390879478826
36,50,18.406313,0.28,0.32709655863681925
35,50,18.500453,0.3,0.32846455290345566
37,50,18.628876,0.26,0.3001610305958132
33,50,18.737374,0.34,0.33284671532846716
39,50,18.856766,0.22,0.23099041533546325
39,50,18.97159,0.22,0.24262607040913417
35,50,19.088288,0.3,0.3487960339943343
33,50,19.205201,0.34,0.33849557522123896
32,50,19.317348,0.36,0.37097278698780106
34,50,19.438231,0.32,0.3804313848077524
32,50,19.568011,0.36,0.37559808612440193
34,50,19.708156,0.32,0.345460399227302
35,50,19.834318,0.3,0.32172002510985565
37,50,19.949425,0.26,0.21223958333333334
37,50,20.0679,0.26,0.26743790404899626
32,50,20.15914,0.36,0.38741721854304634
39,50,20.273942,0.22,0.2638739706408879
41,50,20.393739,0.18,0.1882696046662346
41,50,20.506409,0.18,0.21331058020477817
34,50,20.613168,0.32,0.34291581108829566
37,50,20.727134,0.26,0.28552971576227393
35,50,20.870445,0.3,0.33209302325581397
31,50,20.988881,0.38,0.37285441830896376
35,50,21.147172,0.3,0.31627906976744186
33,50,21.293836,0.34,0.35311379197913273
37,50,21.436522,0.26,0.25582841156356856
31,50,21.583225,0.38,0.40509327805744744
29,50,21.700624,0.42,0.3861867704280156
35,50,21.839796,0.3,0.30884146341463414
30,50,21.963284,0.4,0.43757575757575756
31,50,22.092726,0.38,0.4302931596091205
41,50,22.210431,0.18,0.22826440898730055
33,50,22.328034,0.34,0.35327278421547137
35,50,22.466573,0.3,0.32031506399737447
38,50,22.571251,0.24,0.26850904128283865
37,50,22.702163,0.26,0.26438522107813445
37,50,22.808326,0.26,0.27142380793597864
34,50,22.926018,0.32,0.37413467589679045
40,50,23.046793,0.2,0.21544980443285527
31,50,23.155901,0.38,0.38045868677348416
31,50,23.27755,0.38,0.4075859852137576
37,50,23.38132,0.26,0.27485380116959063
33,50,23.482275,0.34,0.32343584305408274
35,50,23.585653,0.3,0.29545454545454547
36,50,23.701935,0.28,0.3014896373056995
33,50,23.83936,0.34,0.36059022440823857
34,50,23.955472,0.32,0.3213552361396304
34,50,24.063244,0.32,0.3778135048231511
38,50,24.175966,0.24,0.2131782945736434
42,50,24.305809,0.16,0.14814814814814814
33,50,24.446415,0.34,0.40638977635782747
39,50,24.576942,0.22,0.22413793103448276
35,50,24.715836,0.3,0.3334421946440235
42,50,24.83254,0.16,0.1532258064516129
36,50,24.95211,0.28,0.28394659719960924
35,50,25.07139,0.3,0.3359502780503762
36,50,25.217155,0.28,0.32782551222736284
34,50,25.375469,0.32,0.3234686854783207
39,50,25.51194,0.22,0.24747629244417252
42,50,25.621848,0.16,0.13978168587022438
