#{"t_start": 1663577230.7014184, "env_id": "RMSA-v0"}
r,l,t,episode_service_blocking_rate,episode_bit_rate_blocking_rate
50,50,0.08222,0.0,0.0
44,50,0.188903,0.12,0.1356401384083045
42,50,0.294303,0.16,0.17695852534562212
41,50,0.407655,0.18,0.22065426555484285
38,50,0.505823,0.24,0.24395469850015306
46,50,0.615802,0.08,0.08317698561601
44,50,0.723572,0.12,0.14262769033087055
43,50,0.832944,0.14,0.1780593531177059
42,50,0.943886,0.16,0.19800664451827243
42,50,1.048168,0.16,0.20836142953472692
43,50,1.152612,0.14,0.15992702949224688
41,50,1.260726,0.18,0.1776459569153918
46,50,1.37219,0.08,0.10865931126713474
44,50,1.487401,0.12,0.13479923518164436
42,50,1.592597,0.16,0.18121442125237192
35,50,1.686908,0.3,0.3190356919223544
40,50,1.796876,0.2,0.20786846741045215
46,50,1.89061,0.08,0.07089186540346291
42,50,1.995737,0.16,0.2164705882352941
45,50,2.102687,0.1,0.1249606547056972
46,50,2.214896,0.08,0.102327064073956
42,50,2.322289,0.16,0.20924092409240924
40,50,2.426961,0.2,0.21430709368452558
37,50,2.533707,0.26,0.3302540415704388
48,50,2.64887,0.04,0.045916693998032145
45,50,2.759516,0.1,0.10965052901571017
43,50,2.870681,0.14,0.19230769230769232
45,50,2.978114,0.1,0.10144472361809045
44,50,3.095222,0.12,0.1328762650995756
46,50,3.196117,0.08,0.0707740916271722
45,50,3.313869,0.1,0.11197301854974705
45,50,3.427356,0.1,0.12998040496407576
39,50,3.529137,0.22,0.2213350367294794
45,50,3.632274,0.1,0.11622874806800618
36,50,3.723491,0.28,0.3320475731276117
40,50,3.83235,0.2,0.2115851543531044
41,50,3.938964,0.18,0.21935077213993068
39,50,4.040491,0.22,0.2418717714980249
42,50,4.144374,0.16,0.1997471554993679
44,50,4.250493,0.12,0.12421972534332085
45,50,4.355786,0.1,0.1362905818064931
41,50,4.456976,0.18,0.1956521739130435
46,50,4.564772,0.08,0.1009433962264151
47,50,4.672793,0.06,0.07565891472868216
40,50,4.780056,0.2,0.18713259307642063
41,50,4.887462,0.18,0.1987158908507223
43,50,4.991916,0.14,0.17699724517906337
40,50,5.092226,0.2,0.24691792884818597
47,50,5.203188,0.06,0.07740152038700761
45,50,5.312528,0.1,0.09231722428748451
44,50,5.411408,0.12,0.12550481515998757
41,50,5.510414,0.18,0.1793385612001364
38,50,5.606319,0.24,0.31780735107731306
39,50,5.705719,0.22,0.2539135879774577
44,50,5.815711,0.12,0.12750575090371344
44,50,5.919756,0.12,0.13078101071975498
41,50,6.026475,0.18,0.21317957166392093
39,50,6.120176,0.22,0.26817899316345556
42,50,6.226248,0.16,0.17382683410442828
40,50,6.333999,0.2,0.2440795705715188
39,50,6.438218,0.22,0.26020738820479583
48,50,6.550893,0.04,0.03555413196668802
43,50,6.6585,0.14,0.16571609632446135
38,50,6.767304,0.24,0.22345803842264914
42,50,6.873085,0.16,0.18451242829827916
47,50,6.99156,0.06,0.056506296415886344
44,50,7.099243,0.12,0.15346380863622244
41,50,7.211068,0.18,0.18828967642526964
47,50,7.329423,0.06,0.07154797726512872
46,50,7.443284,0.08,0.0881967213114754
41,50,7.539036,0.18,0.17095943335479716
46,50,7.652307,0.08,0.12121212121212122
47,50,7.769733,0.06,0.07817157999337529
41,50,7.88332,0.18,0.2069182389937107
42,50,7.988102,0.16,0.17139959432048682
46,50,8.097145,0.08,0.06969157769869513
44,50,8.203732,0.12,0.11627129969929836
30,50,8.292327,0.4,0.4199121522693997
41,50,8.390895,0.18,0.20503937007874015
45,50,8.486398,0.1,0.10379746835443038
40,50,8.583182,0.2,0.1812964213369345
40,50,8.677973,0.2,0.23172282263191354
43,50,8.778782,0.14,0.15299877600979192
50,50,8.879092,0.0,0.0
44,50,8.983483,0.12,0.14574638844301765
35,50,9.075219,0.3,0.33084899546338303
42,50,9.178454,0.16,0.15363041445933312
44,50,9.274354,0.12,0.15162337662337663
43,50,9.371241,0.14,0.16231884057971013
40,50,9.462016,0.2,0.23663624511082137
37,50,9.552973,0.26,0.2865461231995097
46,50,9.656706,0.08,0.11559055118110237
41,50,9.764053,0.18,0.21202822951825714
42,50,9.876173,0.16,0.22083333333333333
36,50,9.975416,0.28,0.304386223138063
41,50,10.079815,0.18,0.17103620474406991
39,50,10.179144,0.22,0.21562998405103667
39,50,10.277265,0.22,0.21491628614916286
42,50,10.386972,0.16,0.168141592920354
43,50,10.50012,0.14,0.14814814814814814
41,50,10.598383,0.18,0.19919204474829086
44,50,10.70338,0.12,0.12565932361154203
39,50,10.810881,0.22,0.23030085959885388
44,50,10.923702,0.12,0.13936927772126145
44,50,11.024213,0.12,0.13012820512820514
39,50,11.129836,0.22,0.2533854950346073
44,50,11.235361,0.12,0.16984126984126985
43,50,11.346081,0.14,0.15806988352745424
46,50,11.459188,0.08,0.0856958762886598
43,50,11.56799,0.14,0.15153452685421995
40,50,11.663927,0.2,0.22266955713843295
32,50,11.763644,0.36,0.36392496392496393
44,50,11.873408,0.12,0.15851063829787235
42,50,11.978323,0.16,0.19916344916344916
45,50,12.090273,0.1,0.12076852698993595
43,50,12.199413,0.14,0.170311464546057
40,50,12.307636,0.2,0.23523685918234913
43,50,12.418601,0.14,0.15548172757475084
41,50,12.520552,0.18,0.19119458128078817
37,50,12.615572,0.26,0.2782884310618067
39,50,12.725384,0.22,0.25546272493573263
44,50,12.837214,0.12,0.11972076788830716
40,50,12.937252,0.2,0.2222222222222222
40,50,13.046881,0.2,0.23590074121817595
36,50,13.14887,0.28,0.3268940537277392
39,50,13.248968,0.22,0.25337331334332835
43,50,13.363,0.14,0.15366897005593946
37,50,13.466624,0.26,0.29806164601207497
