#{"t_start": 1663568609.2227702, "env_id": "DeepRMSA-v0"}
r,l,t,episode_service_blocking_rate,episode_bit_rate_blocking_rate
32,50,2.441607,0.18,0.2197996464348851
24,50,2.618797,0.26,0.28512110726643597
10,50,2.791781,0.4,0.47987711213517664
-4,50,2.938542,0.54,0.659397049390635
12,50,3.10716,0.38,0.4257728803183349
14,50,3.273495,0.36,0.41244527829893685
4,50,3.432287,0.46,0.4709283649212978
8,50,3.592395,0.42,0.5035011670556853
18,50,3.769918,0.32,0.34651162790697676
28,50,3.955968,0.22,0.28455832771409306
6,50,4.114468,0.44,0.5062328975372453
18,50,4.295637,0.32,0.3818295348111146
14,50,4.479874,0.36,0.39752591106653296
12,50,4.654432,0.38,0.42288081580624604
-12,50,4.805003,0.62,0.629348513598988
4,50,4.969095,0.46,0.4777708202880401
14,50,5.153959,0.36,0.37786259541984735
12,50,5.322479,0.38,0.4279647174126103
16,50,5.503954,0.34,0.4127731092436975
14,50,5.674729,0.36,0.3855838841674536
22,50,5.863495,0.28,0.36085431941345236
8,50,6.037615,0.42,0.47095709570957095
0,50,6.201965,0.5,0.5552229871296019
12,50,6.375494,0.38,0.45232596502804356
12,50,6.555618,0.38,0.43719252213840604
10,50,6.731038,0.4,0.45367104841295286
-4,50,6.889579,0.54,0.6021102791014296
-4,50,7.036494,0.54,0.5989321608040201
6,50,7.205086,0.44,0.4838393731635651
12,50,7.386481,0.38,0.404739336492891
14,50,7.57074,0.36,0.41349072512647556
14,50,7.753026,0.36,0.3706727629000653
14,50,7.937754,0.36,0.3985946981794954
14,50,8.112984,0.36,0.40587326120556416
10,50,8.286492,0.4,0.44390871102539375
8,50,8.458439,0.42,0.5071106486298994
14,50,8.638562,0.36,0.4251497005988024
2,50,8.806567,0.48,0.48708599209966574
14,50,8.987312,0.36,0.38716814159292035
4,50,9.153498,0.46,0.5421348314606742
4,50,10.664879,0.46,0.522018643522983
12,50,10.84164,0.38,0.42167011732229126
22,50,11.029628,0.28,0.2981132075471698
18,50,11.201883,0.32,0.35007751937984494
6,50,11.363301,0.44,0.42684519921619857
-2,50,11.50873,0.52,0.5499197431781702
10,50,11.675138,0.4,0.4331955922865014
6,50,11.831586,0.44,0.47058823529411764
12,50,11.995385,0.38,0.3956461644782308
18,50,12.173946,0.32,0.35718711276332094
26,50,12.366719,0.24,0.2932587760173967
4,50,12.528925,0.46,0.5165359699965906
16,50,12.704706,0.34,0.42839036755386567
8,50,12.869602,0.42,0.4633688165309956
12,50,13.046131,0.38,0.41570818271442656
4,50,13.210854,0.46,0.5255742725880551
8,50,13.384668,0.42,0.47182866556836905
12,50,13.560226,0.38,0.4223119950279677
10,50,13.730532,0.4,0.4448116325181758
6,50,13.895755,0.44,0.47552889169561097
20,50,14.080001,0.3,0.3334413480233312
16,50,14.259199,0.34,0.3811659192825112
22,50,14.442723,0.28,0.29626108998732575
16,50,14.624284,0.34,0.3838894506235254
16,50,14.809254,0.34,0.38177182919056724
22,50,14.995125,0.28,0.30029060381013883
14,50,15.171101,0.36,0.40602671637154397
12,50,15.340332,0.38,0.426502311248074
28,50,15.541034,0.22,0.2634570377800067
22,50,15.724348,0.28,0.32786885245901637
8,50,15.982192,0.42,0.46844816484224083
20,50,16.170469,0.3,0.30303030303030304
16,50,16.354243,0.34,0.41371315004968534
22,50,16.54546,0.28,0.3270440251572327
